cidade;denominacao_do_bem_tombado;endereco;tipo;ano_de_tombamento
Catas Altas;Praça Raymundo Gonçalves Viegas - Antiga Praça São Miguel - 0,13 ha;Entre as Ruas São Miguel e Joaquim Loureiro - Centro;CP;2004
Catas Altas;Igreja de Nossa Senhora Mãe dos Homens;Estrada do Caraça, km 9, Catas Altas - Reserva Particular do Patrimônio Natural – Santuário do Caraça, RPPN do Caraça;BI;2024
Catas Altas;Conjunto Arquitetônico e Paisagístico da Ponte dos Perdões - 2,0 ha;Estrada vicinal do município a 1 Km da sede sobre o Ribeirão Coqueiros;CP;2003
Catas Altas;Conjunto Arquitetônico e Paisagístico da Rua São Miguel - 0,328 ha;Ladeira da Rua São Miguel - Centro;CP;2008
Catas Altas;Conjunto Arquitetônico e Paisagístico do Elevado de Pedras - Bicame e seu entorno, em Quebra Ossos - 0,05 ha;Povoado Morro d'Água Quente;CP;2001
Catas Altas;Capela do Senhor do Bonfim;Praça do Bonfim s/nº - Povoado Morro d'Água Quente;BI;2010
Catas Altas;Imagem do Arcanjo Miguel;Igreja matriz de Nossa Senhora da Conceição - Praça Monsenhor Mendes;BM;2010
Catas Altas;Chafariz da Praça da Matriz;Praça Monsenhor Mendes s/ nº;BI;2003
Catas Altas;Capela de Santa Quitéria;Praça Santa Quitéria, s/nº, Centro;BI;2024
Catas Altas;Capela Sagrado Coração de Jesus;Reserva do Patrimônio Natural do Caraça;BI;2005
Catas Altas;Capela e Cemitério de Catas Altas;Rua Felício Alves da Silva s/nº - Bairro  Sol Nascente;BI;2010
Catas Altas;Gruta da Bocaina - RPPN - Santuário do Caraça - 2,4 ha;Terreno  Rural -  reserva particular do Patrimônio Natural do Caraça;CP;2008
Catas Altas;Ruínas de Moinhos e Caixas d'Água;Terrno urbano de propriedade da Companhia Vale do Rio Doce - Distrito Morro d'água Quente;BI;2003
Catas Altas;Conjunto da Praça Monsenhor Mendes - < 2 ha;Não informado;CP;2000
Catas Altas;Sítio Arqueológico do Pico de Catas Altas -157,73 ha;Sítio Arqueológico Abrigo de Catas Altas - APA Sul  serra do Caraça: conjunto de abrigos de pedras  escavações e utensílios;CP;2003
Catas Altas;Conjunto Arquitetônico e Paisagístico do Povoado do Morro d' Água Quente: capela e 10bens imóveis, muros e ruínas - 23 unidades;"Conjunto Arquitônico e Paisagístico  do Povoado do Morro d' Água Quente:  Capela Senhor do Bonfim, residências à Rua Direita nºs: 224; 230; 312; 352; 463; 473; 568; residências na Rua Bonfim nºs: 60 e 106; residência na Rua do Lago nº 94; muros na Rua Direita nº 41 e 49; muro na Rua Senhor do Bonfim nº 468; muro na Rua do Lago nº 10;  nº 13; nº45; nº94 e nª 105; muro na Rua do Beco nº 11; nº 57 e nº 306 ; ruínas do moinho e caixas d'água.";NH;2001
Catas Altas da Noruega;Capela de Santo Antônio;Largo Santo Antônio s/nº;BI;2013
Catas Altas da Noruega;Igreja Matriz de São Gonçalo do Amarante;Rua 29 de Julho s/nº;BI;2009
Catas Altas da Noruega;Casa da Banda;Rua das Goiabeiras nº 102;BI;2013
Catas Altas da Noruega;Capela do Senhor do Bonfim;Rua das Goiabeiras s/ nº;BI;2013
Catas Altas da Noruega;Museu e Arquivo Histórico de Catas Altas da Noruega - Memorial Padre Luiz Gonzaga Pinheiro;Rua Direita nº 65;BI;2003
Catas Altas da Noruega;Acervo de bens móveis do Museu e Arquivo Histórico de Catas Altas da Noruega - Memorial Padre Luiz Gonzaga Pinheiro;Rua Direita nº 65;BM;2003
Catas Altas da Noruega;Conjunto Arquitetônico da Rua Lava-Pés - 3,6 ha;Não informado;CP;2012
Catas Altas da Noruega;Capela Nossa Senhora do Livramento;Rua Nossa Senhora do Livramento s/nº;BI;2013
Caxambu;Museu de Caxambu;Rua José Carlos Levenhagem de Melo, nº78 - Centro;BI;2025
Caxambu;Estatueta do Conselheiro Mayrink;Praça Cônego José Castilho Moreira s/nº;BM;2007
Caxambu;Escola Municipal Padre Corrêa de Almeida;Rua Conselheiro Mayrink nº 279;BI;2007
Caxambu;Parque das Águas Lysandro Carneiro Guimarães - 21 ha;Rua João Carlos nº100 e Avenida Camilo Soares nº 186;CP;2007
Caxambu;Banco do Chico Cascateiro;RuaJoão Pinheiro nº65;BM;2007
Caxambu;Biblioteca Municipal Doutor Nagib Salomão Niman;Avenida Camilo Soares, nº46;BI;2024
Caxambu;Estação Ferroviária;Praça Cônego José Castilho Moreira, s/nº;BI;2024
Cedro do Abaeté;Retábulo Franciscano: 08 Imagens Sacras e a Imagem de São Sebastião;Acervo da Igreja de Nossa Senhora do Rosário, Praça do Rosário nº 20 - Centro;BM;2021
Centralina;Estádio Municipal Virgílio Antônio dos Santos;Avenida do Contorno s/nº;BI;2015
Centralina;Conjunto Arquitetônico e Urbanístico da sede da Prefeitura Municipal e Praça Alceu Virgílio dos Santos - 0,2891 ha;Praça Alceu Virgílio dos Santos;CP;2014
Chacara;Casa de Cultura;Rua Coronel Onofre Augusto de Paula nº 544;BI;2010
Chacara;Praça Dona Íria - 0,18 ha;Rua Francisco Tambury s/nº;CP;2013
Chacara;Imagem de Nossa Senhora da Piedade;Igreja Matriz de São Sebastião - Rua Francisco Tambury s/nº;BM;2012
Chapada do Norte;Imagem de Nossa Senhora do Rosário;Capela de Nossa Senhora do Rosário - Largo do Rosário s/nº;BM;2012
Chapada do Norte;Casa Comercial - Armazém de Dona Maria Inês;Praça Badaró Júnior nº 05;BI;2009
Chapada do Norte;Edificação;Rua João Luiz Rodrigues Soares nº 45;BI;2005
Chapada do Norte;Prefeitura Velha - Casarão da Professora Corina Badaró;Rua Manoel Bento Machado, nº 216;BI;2010
Chapada Gaúcha;Carro de Boi de Miguel Fragoso.;Casa da Cultura de Serra das Araras João Lopes Viana - Praça Santo Antônio;BM;2013
Chapada Gaúcha;Imagem de Santo Agostinho.;Igreja de Santo Agostinho - Rua Santo Agostinho s/nº;BM;2013
Chapada Gaúcha;Imagem do Santo Antônio;Igreja de Santo Antônio - Rua São Francisco s/nº - Distrito de Serra das Araras;BM;2003
Chiador;Estação Ferroviária de Chiador - em ruínas: Prédio da estação e plataforma;Estrada Chiador - Três Rios  Km 05 - Distrito de Chiador;BI;2005
Chiador;Prefeitura Municipal de Chiador;Praça Antônio Joaquim da Costa nº 45;BI;2003
Chiador;Acervo Documental do Cartório de Registro Civil e Pessoas naturais - 22 livros manuscritos de Registros de nascimento, 09 livros de Registros e Óbtos e 09 livros de Registros de Casamentos - 1888 à 2002;Rua Padre Carlos Dondero nº 32 - Praça 15 de novembro;BM;2003
Cláudio;Câmara Municipal;Avenida Presidente Tancredo Neves nº 170 - Centro;BI;2003
Cláudio;Cemitério Municipal Parque Vale dos Sonhos - Sitio Arqueológico - 21.465 ha - tombamento cancelado;Avenida Igomer de Barros s/nº - Bairro  da Praia;CP;2007
Cláudio;Estação Ferroviária de Cláudio - atual Museu Municipal Histórico Índia Gregório de Araújo;Avenida Igomer de Barros nº 363;BI;2001
Cláudio;Órgão Musical;Museu Histórico e Artístico de Cláudio: Avenida Igomer de Barros nº 363 - Bairro  Dona Lode;BM;2003
Cláudio;Vitrola manual datada de 1904 da marca Victoria  V V 4 - 3, de Victor Talking Machine,  USA;Museu Histórico e Artístico - Avenida Igomer de Barros nº 363 - Bairro  Dona Lode;BM;2003
Cláudio;Praça Levy Victoi de Freitas - 0,14 ha;Limites: Rua Itapecirica, Rua Minas Gerais, Rua Belo Horizonte, Avenida Coronel Joaquim da Silva Guimarães e Praça dos Ex-Combatentes - Centro;CP;2005
Cláudio;Escola Estadual Custódio Costa;Praça 13 de Junho s/nº - Distrito Monsenhor João Alexandre, cerca de 13 km de Claudio;BI;2007
Cláudio;Jardim Monte Castelo - 0,53 ha;Praça dos Ex-Comandantes s/nº - Centro;CP;2007
Cláudio;Escola Municipal Coronel Joaquim da Silva Guimarães;Praça Levi Victoi de Freitas nº 56 - Centro;BI;2002
Cláudio;Prefeitura Municipal;Rua  Presidente Tancredo Neves nº 152;BI;2001
Cláudio;Escola Estadual Inocêncio Amorim;Rua Caxambu nº 81 - Centro;BI;2009
Cláudio;Capela de São Miguel Arcanjo;Terreno do Antiga Cemitério Paroquial - Rua Curitiba;BI;2002
Cláudio;Escola Estadual Quinto Alves Tolentino;Rua Curitiba nº 280 - Centro;BI;2002
Cláudio;Escola Municipal Doutor Mateus Salomé de Oliveira;Rua Santa Clara nº 273 - Rosário;BI;2006
Coimbra;Conjunto Paisagístico da Praça Artur Bernardes   < 2 ha;Praça Arthur Bernardes - Praça da Igreja;CP;2009
Coimbra;Órgão da Igreja Matriz de São Sebastião;Praça Arthur Bernardes s/nº;BM;2010
Coimbra;Vitrais da Igreja Matriz São Sebastião;Praça Arthur Bernardes s/nº;BM;2010
Coimbra;Prefeitura Municipal de Coimbra;Rua Álvaro de Barros nº 401;BI;2009
Coimbra;Estação Ferroviária de Coimbra;Rua Silvestre Alves Ladeira s/nº;BI;2008
Coluna;Casa de Cultura Mata Virgem;Comunidade Rural de Córrego do Japão;BI;2016
Comendador Gomes;Praça Américo Luiz de Freitas;Rua Tiago de Castro, Travessa Primeiro de Abril e Rua Marechal Deodoro;CP;2025
Comendador Gomes;Câmara Municipal de Comendador Gomes;Praça Américo Luiz de Freitas, 90 - Centro;BI;2022
Comendador Gomes;Igreja Matriz de São Sebastião;Praça Manoel Bertoldo da Silva s/nº - Centro;BI;2019
Comendador Gomes;Imagem de são Sebastião;Salão Paroquial - Praça Manoel Bertoldo s/nº;BM;2019
Comendador Gomes;Praça Manoel Bertoldo da Silva <2 ha;-19.692350, -49.084519;CP;2023
Conceição da Barra de Minas;Cemitério Municipal;Avenida Comendador José Morgado – Centro;BI;2021
Conceição da Barra de Minas;Casa de Cultura Antiga Residência Arécio Teixeira;Estação de Congo Fino, Zona Rural;BI;2021
Conceição da Barra de Minas;Conjunto Paisagístico da Antiga Usina Hidrelétrica do Ribeirão do Canjica - 1,7 ha;Povoado do Canjica;CP;2009
Conceição da Barra de Minas;Santuário de Nossa Senhora da Conceição: adro, relógio de sol, frades de pedra e todos os internos da edificação com elementos artísticos e mobiliários;Praça Cônego João Batista da Trindades/nº - Largo da Matriz - Centro;BI;2007
Conceição da Barra de Minas;Imagem de Nossa Senhora da Conceição;Paróquia de Nossa Senhora da Conceição - Praça Cônego João Batista Trindade s/nº;BM;2009
Conceição da Barra de Minas;Igreja de Nossa Senhora do Rosário: elementos artísticos e mobiliários, além do adro gramado ao seu redor;Praça Nossa Senhora do Rosário s/nº;BI;2021
Conceição da Barra de Minas;Igreja de Santo Antônio:  elementos artísticos  mobiliário  adro cercado  encostas gramadas e praça anexa;Praça Santo Antônio s/nº;BI;2021
Conceição da Barra de Minas;Passo da Paixão de Cristo;Praça Santo Antônio,  nºs 27 e 33 – Centro;BI;2021
Conceição da Barra de Minas;Conjunto Paisagístico Praça de Cristo - 0,33 ha;Rua Miguel Canaan e Praça Santa Rita de Cássia – Centro;CP;2021
Conceição das Alagoas;Casarão de José Nunes da Silva - Casarão Zé Soquinho;Rua Antônio Mendonça, nº 387 – Bairro Aziz Mansur;BI;2022
Conceição das Alagoas;Escola Municipal Carlos Luz;Rua José Afonso de Sousa,  nº294 - Bairro Aziz Mansur;BI;2022
Conceição das Alagoas;Escola Municipal Azália de Oliveira naves;Rua Manoel nunes da Silva, nº 490 – Bairro Aziz Mansur;BI;2022
Conceição das Alagoas;UAITEC – Universidade Aberta e Integrada de Minas Gerais;Rua Olímpio Tristão nº 340 – Bairro Centro;BI;2022
Conceição das Alagoas;Casa de Cultura;Rua Presidente Vargas nº 163 - Centro;BI;2007
Conceição de Ipanema;Carro de Boi;Fazenda do Senhor Gottfrid Kaiser - Córrego do Funil;BM;2013
Conceição de Ipanema;Busto de Geraldo de Barros;Praça Nossa Senhora da Conceição - Praça Amaro de Oliveira - Centro;BI;2013
Conceição do Mato Dentro;Igreja de Nossa Senhora do Rosário;Praça do Rosário,s/nº – Bairro do Rosário;BI;2025
Conceição do Mato Dentro;Núcleo Histórico de Candeias - 27 unidades - Certificação de QUILOMBO dada pela Fundação Cultural dos Palmares;Povoado de Candeias - Distrito de Itacolomi;NH;2025
Conceição do Mato Dentro;Capela de São Judas Tadeu;Bairro Barro Vermelho;BI;2000
Conceição do Mato Dentro;Conjunto de Coroas e Cetros - Rei e Rainha do Rosário e Divino: Quatro coroas e respectivos cetros integrantes do acervo;Convento anexo ao Santuário do Bom Jesus do Matozinhos;BM;2003
Conceição do Mato Dentro;Núcleo Histórico do Itacolomi;Distrito de Itacolomi;NH;2005
Conceição do Mato Dentro;Núcleo Histórico de Santo Antônio do Norte - 86 unidades;Distrito de Santo Antônio do Norte;NH;2005
Conceição do Mato Dentro;Capela de Santana;Largo de Santana s/nº;BI;2000
Conceição do Mato Dentro;Conjunto Paisagístico do Salão de Pedras: Sítio Arqueológico do Salão de Pedras  compreendendo o Abrigo do Anjo, Abrigo de Pedra Polida e o Abrigo da Colina - 235 ha;Limites do Parque Municipal Salão de Pedras - Encosta do Campo Grande;CP;2008
Conceição do Mato Dentro;Escola Estadual Daniel de Carvalho;Praça Dom Joaquim s/nº;BI;2000
Conceição do Mato Dentro;Mercado Municipal;Praça Doutor Jorge Safe nº 33 - Largo do Rosário;BI;2000
Conceição do Mato Dentro;Pousada Bandeirantes;Praça Ubaldina nº66;BI;2000
Conceição do Mato Dentro;Praça Dom Joaquim - 0,0709 ha;Não informado;CP;2024
Conceição do Mato Dentro;Residência da Família Rajão;Rua Coletor Bento Silva nº 10;BI;2000
Conceição do Mato Dentro;Residência da Família Lages;Praça da Matriz - Rua Daniel de Carvalho nº 104;BI;2000
Conceição do Mato Dentro;Prefeitura Municipal;Rua Daniel de Carvalho nº 161;BI;2000
Conceição do Mato Dentro;Residência da Família Levi Costa;Rua Daniel de Carvalho nº 364;BI;2000
Conceição do Mato Dentro;Antigo Fórum - Cadeia Velha;Rua Daniel de Carvalho nº 379;BI;2000
Conceição do Mato Dentro;Casa de Cultura;Rua Daniel de Carvalho nº178;BI;2000
Conceição do Mato Dentro;Residência da Família Guerra;Praça Dom Joaquim - Rua Raul Soares nº 313;BI;2000
Conceição do Mato Dentro;Chafariz;Praça Dom Joaquim;BI;1960
Conceição do Mato Dentro;Obras de Talha;Santuário de Bom Jesus de Matosinhos;BM;não informado
Conceição do Rio Verde;Escola Municipal Coronel Gabriel Carneiro  - Escola Municipal Coronel Gabriel Carneiro;Praça Cônego Candido Silva s/nº;BI;2004
Conceição do Rio Verde;Imagem de Nossa Senhora da Conceição;Baílica de Nossa Senhora da Conceição - Praça Cônego Candido Silva s/nº;BM;2006
Conceição do Rio Verde;Conjunto Paisagístico do Parque das Águas Pedra do Imperador - 0,77 ha;Rua José da Costa Barros s/nº - Distrito de Água de Contendas;CP;2007
Conceição dos Ouros;Prainha dos Pilões - 2,547 ha;Acesso pela Rodovia MG 173 no sentido Belo Horizonte;CP;2012
Conceição dos Ouros;Cine Ouros;Avenida Coronel Domingos Rosa nº 45 - Centro;BI;2009
Conceição dos Ouros;Acervo Arqueológico de artefatos indígenas;Museu Histórico  Arqueológico  Cultural e Ambiental - Rua Capitão Francisco de Oliveira Costa nº10 - Centro;BM;2007
Confins;Cemitério de Bexiguentos: fachadas e todas as áreas internas dos terrenos contíguos pertencentes ao imóvel;LMG 010 em Confins - Rua Lindonor de Oliveira;BI;2006
Confins;Capela São José;Rua São José  s/ nº - Centro;BI;2006
Congonhas;Igreja São José de Congonhas;Rua Bom Jesus s/nº;BI;2025
Congonhas;Escola Municipal Barão de Congonhas;Avenida Presidente Getúlio Vargas nº154 - Centro;BI;2025
Congonhas;Conjunto escultórico dos Profetas - 0,02 ha;Adro do Santuário do Senhor Bom Jesus de Matozinhos;CP;2007
Congonhas;"Centro Histórico cultural ""Romaria""";Alameda Cidade Matozinhos de Portugal nº 154;BI;2002
Congonhas;Igreja de Nossa Senhora da Ajuda;Alto Maranhão;BI;2005
Congonhas;Estação Ferroviária de Congonhas;Avenida Governador Valadares, s/n°;BI;2024
Congonhas;Senhor Morto;Basílica do Senhor Bom Jesus de Matozinhos - Praça do Santuário s/nº;BM;2005
Congonhas;Capela de Nossa Senhora da Soledade;Distrito de Lobo Leite;BI;2005
Congonhas;Santuário da Basílica do Senhor Bom Jesus de Matosinhos;Praça da Basílica s/nº;BI;2003
Congonhas;Conjunto das Capelas dos Passos da Paixão - 0,42 ha;Praça da Basílica s/nº;CP;2003
Congonhas;Igreja do Rosário;Praça do Rosário s/nº - Bairro do Rosário;BI;2004
Congonhas;Estação Ferroviária de Lobo Leite;Praça Doutor Álvaro Lobo Leite s/nº;BI;2005
Congonhas;Igreja Matriz de Nossa Senhora da Conceição;Praça Sete de Setembro s/nº;BI;2004
Congonhas;Museu da Imagem e da Memória;Rua Bom Jesus nº 250;BI;2007
Congonhas;Edificação;Rua José Júlio nº 163;BI;2005
Congonhas;Núcleo Histórico Urbano de Lobo Leite - 40 unidades;"20°31'13.4""S 43°55'31.3""W";NH;2022
Congonhas;Conjunto Arquitetônico e Urbanístico de Congonhas - 105 unidades;-20.508393, -43.852223;NH;2012
Congonhas;Edificação;Rua Barão de Congonhas, 73- Bairro Matriz;BI;2024
Congonhas do Norte;Pedra de Mó;Comunidade  Rural de Luiz Francisco - Estrada Congonhas do Norte aTapera - km 3;BM;2009
Congonhas do Norte;Sobrado Senhor Teté;Rua Doutor Jorge Safe nº 80;BI;2016
Conquista;Estação Ferroviária de Conquista;Praça Renato Azeredo, nº1 - Bairro Centro;BI;2025
Conquista;Palacete dos Marques;Praça Coronel Tancredo França, nº 54 - Centro;BI;2025
Conquista;Escola Municipal Doutor Prado Lopes;Avenida José Mendonça, nº 802 - Centro;BI;2025
Conquista;Fórum Desembargador Vicente de Paula Borges;Praça Coronel Tancredo França nº100;BI;2025
Conquista;Escola Estadual - Grupão;Largo São José, s/nº - Distrito de Guaxima;BI;2022
Conquista;Acervo mobiliário da Prefeitura - Museu de Conquista;Praça Coronel Tancredo França nº 81 - Prefeitura Municipal;BM;2006
Conquista;Igreja Matriz de Nossa Senhora de Lourdes;Praça Coronel Tancredo França s/nº;BI;2007
Conselheiro Lafaiete;Igreja de Nossa Senhora da Conceição da Passagem do Gagé;Zona  Rural da Passagem de Gagé;BI;2025
Conselheiro Lafaiete;Igreja de Santo Antônio;Largo Santo Antônio,nº 51 -  Bairro Santo Antônio;BI;2025
Conselheiro Lafaiete;Coroa de Nossa Senhora da Conceição;Rua Barão de Suassuí, nº 106, Centro;BM;2025
Conselheiro Lafaiete;Imagem de Nossa Senhora da Conceição;Rua Barão de Suassuí, nº 106, Centro;BM;2025
Conselheiro Lafaiete;Imagem de Nosso Senhor dos Passos;Praça Barão de Queluz, nº 27;BM;2025
Conselheiro Lafaiete;Locomotiva a vapor conhecida como Maria Fumaça - modelo Orenstein e Koppel - AG 0.4.0, nº de série 6561, prefixo 1002 - Data de fabricação: Junho de 1913 - Procedência: oficina Trajano de Medeiros e EF Central do Brasil;Museu Ferroviário - Rua Marechal Floriano Peixoto s/nº - Centro;BM;2011
Conselheiro Lafaiete;Monumento ao Conselheiro Lafayette;Praça  Barão de Queluz s/nº;BI;2002
Conselheiro Lafaiete;Chafariz da Praça Barão de Queluz;Praça Barão de Queluz;BI;2002
Conselheiro Lafaiete;Igreja Matriz de Nossa Senhora da Conceição;Praça Barão de Queluz nº 67 - Centro;BI;2021
Conselheiro Lafaiete;Casa do Artesanato João Salgado/ Solar dos Amaral;Praça Barão de Queluz nº 98;BI;2002
Conselheiro Lafaiete;Monumento ao Expedicionário;Praça da Bandeira s/nº;BI;2002
Conselheiro Lafaiete;Monumento ao Cristo Redentor;Praça do Cristo adjacente à Avenida Rotariano Aarão Bank  onde se localiza a Igreja da Santa Efigênia, nas instalações da TV Lafaiete;BI;2002
Conselheiro Lafaiete;Monumento aos Trabalhadores;Praça dos Trabalhadores s/nº - Bairro Areal;BI;2002
Conselheiro Lafaiete;Fonte Luminosa da Praça Tiradentes;Praça Tiradentes;BI;2002
Conselheiro Lafaiete;Biblioteca – Museu Antônio Perdigão – Arquivo da Cidade;Praça Tiradentes nº 19 - Centro;BI;2021
Conselheiro Lafaiete;Monumento à Índia Carijó;Praça Tiradentes s/nº;BI;2002
Conselheiro Lafaiete;Conjunto Paisagístico da Fazenda do Paraopeba - 0,8 ha;Rodovia 383 próximo do quilômetro 12, à margem direita do Rio Paraopeba;CP;2021
Conselheiro Lafaiete;Solar Barão de Suassuí - Centro Cultural;Rua Barão do Suassuí nº 106, esquina de Rua Cefisa Viana - Centro;BI;2021
Conselheiro Lafaiete;Casa de Cultura Professora Gabriela Mendonça;Rua Comendador Baêta Neves nº 68;BI;2002
Conselheiro Pena;Estação de tratamento de água conhecida como Caixa d'Água;Praça José Ferreira de Queiroz s/nº - Bairro José Ferreira de Queiroz;BI;2004
Conselheiro Pena;Residência de Dona Miquelina Augusta Silva Youssef -  1ª Prefeitura Municipal de Conselheiro Pena;Rua Benedito Valadares nº 1493;BI;2000
Conselheiro Pena;Igreja Católica do Distrito de Cuieté Velho - Capela de Nossa Senhora da Conceição - Pia Batismal do período do império;Rua Esmeraldina Candida de Jesus  nº 37;BM;2003
Conselheiro Pena;Conjunto Paisagístico e Arqueológico da Serra da Onça - Parque Estadual Sete Salões - 2559,25 ha;Serra do Onça;CP;2003
Consolação;Imagem de Nossa Senhora da Consolação;Altar-mor da Igreja Matriz de Nossa Senhora da Consolação - Praça Alferes José Pinto de Oliveira s/nº;BM;2006
Consolação;Igreja Matriz Nossa Senhora da Consolação;Praça Alferes José Pinto de Oliveira s/nº - Centro;BI;2007
Contagem;Prédio Administrativo da Antiga CIA Portland Itaú S.A.: quatro Chaminés;Avenida General David Sarnoff nº 920 - Cidade Industrial Juventino Dias;BI;2008
Contagem;Conjunto Paisagistico e Histórico da Fazenda Vista Alegre - 3,177433 ha;Bairro Quintas Coloniais na Avenida A;CP;2008
Contagem;Espaço Popular de Contagem;Confluência da Rua Doutor Cassiano Nunes Moreira com Rua Presidência Kiennedy - Centro;BI;2008
Contagem;Cine Teatro Municipal de Contagem;Praça Silviano Brandão s/nº - Centro;BI;2008
Contagem;Casa da Cultura Nair Mendes Moreira;Praça Vereador Josias Belém nº 01;BI;2008
Contagem;Conjunto Urbano: Prédio do Antigo Seminário São José - atual Palácio do Registro, Prefeitura, Capela Santa Helena, Centro de Esporte e Lazer Presidente Tancredo Neves - 5,6 ha;"Prédio Antigo Seminário São José - Praça Presidente Tancredo Neves nº 200; Capela Santa Helena na confluência das Ruas Frei Domingo Godyn e Rua Formosa; Centro de Esporte e Lazer Presidente Tancredo Neves - quarteirão entre as Ruas Domingos Diniz Moreira, Tenente Romualdo, Antônio José Costinha e Coronel Augusto Camargos - Bairro Camilo Alves";CP;2018
Contagem;Conjunto Paisagístico da Capela de Santo Antônio do Morro Redondo  - 0,1062 ha;Rua Alameda dos Coqueiros s/nº – Condomínio San Remo – Bairro Tupã;CP;2018
Contagem;Capela de Imaculada Conceição e Santa Edwiges;Rua Desembargador Luciano Souza Lima nº 29 - Bairro Bela Vista;BI;2008
Contagem;Conjunto Centro Cultural Prefeito Francisco Firmo de Mattos Filho -;Rua Doutor Cassiano nº 102, 130, 140;CP;2007
Contagem;Casa dos Cacos de Louça;Rua Inês Glansmann de Almeida nº 132 - Bairro Bernardo Monteiro;BI;2008
Contagem;Conjunto Paisagístico e Histórico do Parque Municipal Gentil Diniz - 2,4 ha;Rua Maria do Carmo Diniz nº 141 - Bairro Nossa Senhora do Carmo;CP;2007
Contagem;Capela de São Domingos de Gusmão e seu bem móvel : Imagem em madeira maciça de São Domingos de Gusmão;Rua Retiro de Freiras nº 25 - Bairro Retiro das Esperanças;BI;2009
Contagem;Matriz de São Gonçalo e seus bens móveis: Imagem de Santa Luzia, Santa Helena, São Gonçalo, Nossa Senhora das Dores, Senhor Morto e Senhor dos Passos - e bem integrado: retábulo;Rua Silviano Brandão s/nº - Centro;BI;2008
Coqueiral;Praça Rui Barbosa - 0,41 ha;Rua Padre João Maciel Neiva, Rua Afonso Pena, Rua Castro  Alves - Distrito de Frei Eustáquio;CP;2004
Coqueiral;Usina hidrelétrica de Frei Eustáquio;Fazenda Cachoeira de Baixo - Distrito de Frei Eustáquio;BI;2004
Coqueiral;Usina de Açúcar do Esmeril - Ruínas;Fazenda Esmeril;BI;2004
Coqueiral;Alambique Rainha da Lavoura;Fazenda Vista Longa;BI;2004
Coqueiral;Praça Dom Pedro II - 0,753 ha;Rua Tiradentes, Rua A. Vilela, Rua Dona Micota, Rua José Feliciano Vilela;CP;2004
Coqueiral;Igreja de Frei Eustáquio;Praça Rui Barbosa - Distrito de Frei Eustáquio;BI;2004
Coqueiral;Praça Sete de Setembro - 0,59 ha;Rua Tiradentes, Rua Boa Esperança, Rua Bárbara Heliodora, Rua Coronel João Borges;CP;2004
Coqueiral;Clube Flemming Larsen;Praça Sete de Setembro nº 61- Centro;BI;2004
Coqueiral;Cruzeiro;Praça Sete de Setembro - Centro;BI;2004
Coqueiral;Igreja Matriz do Divino Espírito Santo;Praça. Dom Pedro II s/nº - Centro;BI;2004
Coqueiral;Fazenda do Esmeril;Zona Rural;BI;2004
Cordisburgo;Conjunto Urbanístico Ferroviário de Cordisburgo - 3,05 ha;"Avenida Padre João; Rua Governador Valadares; Rua Marechal Deodoro.";CP;2012
Cordisburgo;Arquivo documental de João Guimarães Rosa;Museu Casa Guimarães Rosa - Rua Padre João nº 744;BM;2008
Cordisburgo;Prefeitura e Câmara Municipal;Rua São José  nº 977;BI;2007
Corinto;Estação Ferroviária e o Acervo Ferroviário de bens imóveis :prédios, instalações, vias em trilhos, terrenos e anexos, e bem móvel: Máquina Locomotiva nº 526;Pátio da Estação;BI;2012
Coromandel;Praça Dom Eduardo - 0,65 ha;Praça Dom Eduardo s/nº;CP;2008
Coromandel;Igreja Matriz de Santana;Praça Dom Eduardo, Centro;BI;2024
Coromandel;Prefeitura Municipal;Rua Arthur Bernardes nº170;BI;2004
Coromandel;Acervo Abel Ferreira - 17 itens;Casa de Cultura - Rua Rio Branco  nº 1000;BM;2008
Coromandel;Acervo Goiá;Rua Rio Branco,nº 100, Centro;BM;2024
Coronel Fabriciano;Casa de Hóspedes do Instituto Católico de Minas Gerais -  Câmara Municipal  - Fazendinha;Avenida Pesidente Tancredo de Almeida Neves nº 3.500 - Bairro Caladinho;BI;2023
Coronel Fabriciano;Museu do Instituto Católico de Minas Gerais - Câmara Municipal e acervo;Avenida Presidente Tancredo de Almeida Neves nº 3500 - Bairro Caladinho;BI;2010
Coronel Fabriciano;Teatro do Instituto Católico de Minas Gerais - Câmara Municipal- Teatro Papa João Paulo II  com seus equipamentos;Avenida Presidente Tancredo de Almeida Neves nº 3500 - Bairro Caladinho;BI;2010
Coronel Fabriciano;Sobrado dos Pereiras;Rua Coronel Silvino Pereira  nº 29 - Centro;BI;2007
Coronel Fabriciano;Salão Paroquial - Salão Paroquial São José;Rua Doutor Querubino  nº 343  esquina com Rua Manoel Joaquim Pires;BI;2007
Coronel Fabriciano;Fachada principal do Grupo Escolar Professor Pedro Calmon;Rua Doutor Querubino  nº 378 - Centro;BI;2023
Coronel Fabriciano;Quadro O Batismo - pintado por Carlos Oswaldo;Igreja Matriz de São Sebastião - Rua Doutor Querubino s/nº;BM;2001
Coronel Fabriciano;Via Sacra da Matriz de São Sebastião - 14 Quadros da Via Sacra pintados por Carlos Oswaldo;Igreja Matriz de São Sebastião - Rua Doutor Querubino s/nº;BM;2001
Coronel Fabriciano;Igreja Matriz de São Sebastião e acervo - Museu Histórico Municipal José A. Barbosa;Rua Doutor Querubino s/nº - Centro;BI;2007
